ID,Media_Type,Download_URL
eaf01_muyu007,application/eaf+xml,01_muyu007.eaf
wav01_muyu007,audio/wav,
eaf02_muyu031,application/eaf+xml,02_muyu031.eaf
wav02_muyu031,audio/wav,
eaf03_muyu032,application/eaf+xml,03_muyu032.eaf
wav03_muyu032,audio/wav,
eaf04_muyu065,application/eaf+xml,04_muyu065.eaf
wav04_muyu065,audio/wav,
eaf05_muyu067,application/eaf+xml,05_muyu067.eaf
wav05_muyu067,audio/wav,
eaf06_muyu035,application/eaf+xml,06_muyu035.eaf
wav06_muyu035,audio/wav,
eaf07_muyu037,application/eaf+xml,07_muyu037.eaf
wav07_muyu037,audio/wav,
eaf08_muyu038,application/eaf+xml,08_muyu038.eaf
wav08_muyu038,audio/wav,
eaf09_muyu039,application/eaf+xml,09_muyu039.eaf
wav09_muyu039,audio/wav,
eaf10_muyu040,application/eaf+xml,10_muyu040.eaf
wav10_muyu040,audio/wav,
